Species,x,xend,BreedingPhase
ATPU,2024-05-01,2024-05-25,Pre-laying
ATPU,2024-05-25,2024-06-30,Incubation
ATPU,2024-06-30,2024-07-25,Chick-rearing
ATPU,2024-07-25,2024-08-15,Fledging
BLKI,2024-04-15,2024-06-01,Pre-laying
BLKI,2024-06-01,2024-06-25,Incubation
BLKI,2024-06-25,2024-07-30,Chick-rearing
BLKI,2024-07-30,2024-08-20,Fledging
COMU,2024-05-25,2024-06-29,Incubation
COMU,2024-06-29,2024-07-15,Chick-rearing
COMU,2024-07-15,2024-08-10,Fledging
Gulls,2024-05-01,2024-06-01,Incubation
Gulls,2024-06-01,2024-07-15,Chick-rearing
Gulls,2024-07-15,2024-09-15,Fledging
Gulls,2024-09-15,2024-12-01,Overwinter
Gulls,2024-01-01,2024-05-01,Overwinter
NOGA,2024-04-15,2024-06-15,Incubation
NOGA,2024-06-15,2024-09-15,Chick-rearing
NOGA,2024-09-15,2024-10-15,Fledging
Shearwaters,2024-05-15,2024-11-15,Overwinter
Eiders,2024-10-15,2024-12-01,Overwinter
Eiders,2024-01-01,2024-04-15,Overwinter
